grouping,identifier,percentage,week,YMD
VOC,Alpha,0.015,2021-01-03,2021-01-03
VOC,Alpha,0.027,2021-01-10,2021-01-10
VOC,Alpha,0.056,2021-01-17,2021-01-17
VOC,Alpha,0.082,2021-01-24,2021-01-24
VOC,Alpha,0.157,2021-01-31,2021-01-31
VOC,Alpha,0.257,2021-02-07,2021-02-07
VOC,Alpha,0.293,2021-02-14,2021-02-14
VOC,Alpha,0.343,2021-02-21,2021-02-21
VOC,Alpha,0.41100000000000003,2021-02-28,2021-02-28
VOC,Alpha,0.371,2021-03-07,2021-03-07
VOC,Alpha,0.448,2021-03-14,2021-03-14
VOC,Alpha,0.452,2021-03-21,2021-03-21
VOC,Alpha,0.41000000000000003,2021-03-28,2021-03-28
VOC,Alpha,0.372,2021-04-04,2021-04-04
VOC,Alpha,0.47700000000000004,2021-04-11,2021-04-11
VOC,Alpha,0.555,2021-04-18,2021-04-18
VOC,Alpha,0.537,2021-04-25,2021-04-25
VOC,Alpha,0.601,2021-05-02,2021-05-02
VOC,Alpha,0.599,2021-05-09,2021-05-09
VOC,Alpha,0.5640000000000001,2021-05-16,2021-05-16
VOC,Alpha,0.5770000000000001,2021-05-23,2021-05-23
VOC,Alpha,0.5750000000000001,2021-05-30,2021-05-30
VOC,Alpha,0.523,2021-06-06,2021-06-06
VOC,Alpha,0.436,2021-06-13,2021-06-13
VOC,Alpha,0.424,2021-06-20,2021-06-20
VOC,Alpha,0.268,2021-06-27,2021-06-27
VOC,Alpha,0.198,2021-07-04,2021-07-04
VOC,Alpha,0.142,2021-07-11,2021-07-11
VOC,Alpha,0.08,2021-07-18,2021-07-18
VOC,Alpha,0.053,2021-07-25,2021-07-25
VOC,Alpha,0.04,2021-08-01,2021-08-01
VOC,Alpha,0.023,2021-08-08,2021-08-08
VOC,Alpha,0.012,2021-08-15,2021-08-15
VOC,Alpha,0.006,2021-08-22,2021-08-22
VOC,Alpha,0.007,2021-08-29,2021-08-29
VOC,Alpha,0.004,2021-09-05,2021-09-05
VOC,Alpha,0.002,2021-09-12,2021-09-12
VOC,Alpha,0.003,2021-09-19,2021-09-19
VOC,Alpha,0.0,2021-09-26,2021-09-26
VOC,Alpha,0.001,2021-10-03,2021-10-03
VOC,Alpha,0.001,2021-10-10,2021-10-10
VOC,Alpha,0.0,2021-10-17,2021-10-17
VOC,Alpha,0.0,2021-10-24,2021-10-24
VOC,Alpha,0.0,2021-10-31,2021-10-31
VOC,Alpha,0.0,2021-11-14,2021-11-14
VOC,Alpha,0.0,2021-11-07,2021-11-07
VOC,Alpha,0.0,2021-11-21,2021-11-21
VOC,Alpha,0.0,2021-11-28,2021-11-28
VOC,Alpha,0.0,2021-12-05,2021-12-05
VOC,Alpha,0.0,2021-12-12,2021-12-12
VOC,Alpha,0.0,2021-12-19,2021-12-19
VOC,Alpha,0.0,2021-12-26,2021-12-26
VOC,Beta,0.008,2021-01-03,2021-01-03
VOC,Beta,0.01,2021-01-10,2021-01-10
VOC,Beta,0.005,2021-01-17,2021-01-17
VOC,Beta,0.007,2021-01-24,2021-01-24
VOC,Beta,0.012,2021-01-31,2021-01-31
VOC,Beta,0.023,2021-02-07,2021-02-07
VOC,Beta,0.013000000000000001,2021-02-14,2021-02-14
VOC,Beta,0.02,2021-02-21,2021-02-21
VOC,Beta,0.013999999999999999,2021-02-28,2021-02-28
VOC,Beta,0.009,2021-03-07,2021-03-07
VOC,Beta,0.017,2021-03-14,2021-03-14
VOC,Beta,0.019,2021-03-21,2021-03-21
VOC,Beta,0.021,2021-03-28,2021-03-28
VOC,Beta,0.028,2021-04-04,2021-04-04
VOC,Beta,0.019,2021-04-11,2021-04-11
VOC,Beta,0.012,2021-04-18,2021-04-18
VOC,Beta,0.016,2021-04-25,2021-04-25
VOC,Beta,0.009,2021-05-02,2021-05-02
VOC,Beta,0.008,2021-05-09,2021-05-09
VOC,Beta,0.01,2021-05-16,2021-05-16
VOC,Beta,0.006,2021-05-23,2021-05-23
VOC,Beta,0.006,2021-05-30,2021-05-30
VOC,Beta,0.005,2021-06-06,2021-06-06
VOC,Beta,0.005,2021-06-13,2021-06-13
VOC,Beta,0.008,2021-06-20,2021-06-20
VOC,Beta,0.007,2021-06-27,2021-06-27
VOC,Beta,0.005,2021-07-04,2021-07-04
VOC,Beta,0.002,2021-07-11,2021-07-11
VOC,Beta,0.002,2021-07-18,2021-07-18
VOC,Beta,0.001,2021-07-25,2021-07-25
VOC,Beta,0.0,2021-08-01,2021-08-01
VOC,Beta,0.0,2021-08-08,2021-08-08
VOC,Beta,0.0,2021-08-15,2021-08-15
VOC,Beta,0.0,2021-08-22,2021-08-22
VOC,Beta,0.0,2021-08-29,2021-08-29
VOC,Beta,0.0,2021-09-05,2021-09-05
VOC,Beta,0.0,2021-09-12,2021-09-12
VOC,Beta,0.0,2021-09-19,2021-09-19
VOC,Beta,0.0,2021-09-26,2021-09-26
VOC,Beta,0.0,2021-10-03,2021-10-03
VOC,Beta,0.0,2021-10-10,2021-10-10
VOC,Beta,0.0,2021-10-17,2021-10-17
VOC,Beta,0.0,2021-10-24,2021-10-24
VOC,Beta,0.0,2021-10-31,2021-10-31
VOC,Beta,0.0,2021-11-14,2021-11-14
VOC,Beta,0.0,2021-11-07,2021-11-07
VOC,Beta,0.0,2021-11-21,2021-11-21
VOC,Beta,0.0,2021-11-28,2021-11-28
VOC,Beta,0.0,2021-12-05,2021-12-05
VOC,Beta,0.0,2021-12-12,2021-12-12
VOC,Beta,0.0,2021-12-19,2021-12-19
VOC,Beta,0.0,2021-12-26,2021-12-26
VOC,Delta,0.0,2021-01-03,2021-01-03
VOC,Delta,0.0,2021-01-10,2021-01-10
VOC,Delta,0.0,2021-01-17,2021-01-17
VOC,Delta,0.0,2021-01-24,2021-01-24
VOC,Delta,0.0,2021-01-31,2021-01-31
VOC,Delta,0.0,2021-02-07,2021-02-07
VOC,Delta,0.0,2021-02-14,2021-02-14
VOC,Delta,0.0,2021-02-21,2021-02-21
VOC,Delta,0.0,2021-02-28,2021-02-28
VOC,Delta,0.0,2021-03-07,2021-03-07
VOC,Delta,0.0,2021-03-14,2021-03-14
VOC,Delta,0.001,2021-03-21,2021-03-21
VOC,Delta,0.001,2021-03-28,2021-03-28
VOC,Delta,0.005,2021-04-04,2021-04-04
VOC,Delta,0.015,2021-04-11,2021-04-11
VOC,Delta,0.036000000000000004,2021-04-18,2021-04-18
VOC,Delta,0.047,2021-04-25,2021-04-25
VOC,Delta,0.049,2021-05-02,2021-05-02
VOC,Delta,0.07500000000000001,2021-05-09,2021-05-09
VOC,Delta,0.099,2021-05-16,2021-05-16
VOC,Delta,0.131,2021-05-23,2021-05-23
VOC,Delta,0.158,2021-05-30,2021-05-30
VOC,Delta,0.23399999999999999,2021-06-06,2021-06-06
VOC,Delta,0.356,2021-06-13,2021-06-13
VOC,Delta,0.384,2021-06-20,2021-06-20
VOC,Delta,0.584,2021-06-27,2021-06-27
VOC,Delta,0.662,2021-07-04,2021-07-04
VOC,Delta,0.719,2021-07-11,2021-07-11
VOC,Delta,0.831,2021-07-18,2021-07-18
VOC,Delta,0.8959999999999999,2021-07-25,2021-07-25
VOC,Delta,0.909,2021-08-01,2021-08-01
VOC,Delta,0.93,2021-08-08,2021-08-08
VOC,Delta,0.96,2021-08-15,2021-08-15
VOC,Delta,0.97,2021-08-22,2021-08-22
VOC,Delta,0.9850000000000001,2021-08-29,2021-08-29
VOC,Delta,0.992,2021-09-05,2021-09-05
VOC,Delta,0.9960000000000001,2021-09-12,2021-09-12
VOC,Delta,0.9970000000000001,2021-09-19,2021-09-19
VOC,Delta,0.9990000000000001,2021-09-26,2021-09-26
VOC,Delta,0.998,2021-10-03,2021-10-03
VOC,Delta,0.998,2021-10-10,2021-10-10
VOC,Delta,1.001,2021-10-17,2021-10-17
VOC,Delta,0.999,2021-10-24,2021-10-24
VOC,Delta,0.9990000000000001,2021-10-31,2021-10-31
VOC,Delta,1.0,2021-11-14,2021-11-14
VOC,Delta,0.9990000000000001,2021-11-07,2021-11-07
VOC,Delta,0.998,2021-11-21,2021-11-21
VOC,Delta,0.9800000000000001,2021-11-28,2021-11-28
VOC,Delta,0.794,2021-12-05,2021-12-05
VOC,Delta,0.43800000000000006,2021-12-12,2021-12-12
VOC,Delta,0.186,2021-12-19,2021-12-19
VOC,Delta,0.074,2021-12-26,2021-12-26
VOC,Gamma,0.0,2021-01-03,2021-01-03
VOC,Gamma,0.001,2021-01-10,2021-01-10
VOC,Gamma,0.0,2021-01-17,2021-01-17
VOC,Gamma,0.0,2021-01-24,2021-01-24
VOC,Gamma,0.003,2021-01-31,2021-01-31
VOC,Gamma,0.006,2021-02-07,2021-02-07
VOC,Gamma,0.015,2021-02-14,2021-02-14
VOC,Gamma,0.024,2021-02-21,2021-02-21
VOC,Gamma,0.03,2021-02-28,2021-02-28
VOC,Gamma,0.057999999999999996,2021-03-07,2021-03-07
VOC,Gamma,0.096,2021-03-14,2021-03-14
VOC,Gamma,0.188,2021-03-21,2021-03-21
VOC,Gamma,0.233,2021-03-28,2021-03-28
VOC,Gamma,0.252,2021-04-04,2021-04-04
VOC,Gamma,0.23700000000000002,2021-04-11,2021-04-11
VOC,Gamma,0.189,2021-04-18,2021-04-18
VOC,Gamma,0.227,2021-04-25,2021-04-25
VOC,Gamma,0.203,2021-05-02,2021-05-02
VOC,Gamma,0.225,2021-05-09,2021-05-09
VOC,Gamma,0.242,2021-05-16,2021-05-16
VOC,Gamma,0.219,2021-05-23,2021-05-23
VOC,Gamma,0.211,2021-05-30,2021-05-30
VOC,Gamma,0.148,2021-06-06,2021-06-06
VOC,Gamma,0.12,2021-06-13,2021-06-13
VOC,Gamma,0.099,2021-06-20,2021-06-20
VOC,Gamma,0.102,2021-06-27,2021-06-27
VOC,Gamma,0.099,2021-07-04,2021-07-04
VOC,Gamma,0.083,2021-07-11,2021-07-11
VOC,Gamma,0.043000000000000003,2021-07-18,2021-07-18
VOC,Gamma,0.02,2021-07-25,2021-07-25
VOC,Gamma,0.013000000000000001,2021-08-01,2021-08-01
VOC,Gamma,0.005,2021-08-08,2021-08-08
VOC,Gamma,0.004,2021-08-15,2021-08-15
VOC,Gamma,0.004,2021-08-22,2021-08-22
VOC,Gamma,0.002,2021-08-29,2021-08-29
VOC,Gamma,0.001,2021-09-05,2021-09-05
VOC,Gamma,0.001,2021-09-12,2021-09-12
VOC,Gamma,0.0,2021-09-19,2021-09-19
VOC,Gamma,0.0,2021-09-26,2021-09-26
VOC,Gamma,0.0,2021-10-03,2021-10-03
VOC,Gamma,0.0,2021-10-10,2021-10-10
VOC,Gamma,0.0,2021-10-17,2021-10-17
VOC,Gamma,0.0,2021-10-24,2021-10-24
VOC,Gamma,0.0,2021-10-31,2021-10-31
VOC,Gamma,0.0,2021-11-14,2021-11-14
VOC,Gamma,0.0,2021-11-07,2021-11-07
VOC,Gamma,0.0,2021-11-21,2021-11-21
VOC,Gamma,0.0,2021-11-28,2021-11-28
VOC,Gamma,0.0,2021-12-05,2021-12-05
VOC,Gamma,0.0,2021-12-12,2021-12-12
VOC,Gamma,0.0,2021-12-19,2021-12-19
VOC,Gamma,0.0,2021-12-26,2021-12-26
VOC,Omicron,0.0,2021-01-03,2021-01-03
VOC,Omicron,0.0,2021-01-10,2021-01-10
VOC,Omicron,0.0,2021-01-17,2021-01-17
VOC,Omicron,0.0,2021-01-24,2021-01-24
VOC,Omicron,0.0,2021-01-31,2021-01-31
VOC,Omicron,0.0,2021-02-07,2021-02-07
VOC,Omicron,0.0,2021-02-14,2021-02-14
VOC,Omicron,0.0,2021-02-21,2021-02-21
VOC,Omicron,0.0,2021-02-28,2021-02-28
VOC,Omicron,0.0,2021-03-07,2021-03-07
VOC,Omicron,0.0,2021-03-14,2021-03-14
VOC,Omicron,0.0,2021-03-21,2021-03-21
VOC,Omicron,0.0,2021-03-28,2021-03-28
VOC,Omicron,0.0,2021-04-04,2021-04-04
VOC,Omicron,0.0,2021-04-11,2021-04-11
VOC,Omicron,0.0,2021-04-18,2021-04-18
VOC,Omicron,0.0,2021-04-25,2021-04-25
