date,region,total cases,alpha cases,proportion
2021-03-21,Alberta,3510.0,679,0.19344729344729344
2021-03-21,British Columbia,4027.0,427,0.10603426868636702
2021-03-21,Manitoba,609.0,51,0.08374384236453201
2021-03-21,New Brunswick,20.0,0,0.0
2021-03-21,Newfoundland and Labrador,2.0,90,45.0
2021-03-21,Northwest Territories,0.0,0,0.0
2021-03-21,Nova Scotia,18.0,2,0.1111111111111111
2021-03-21,Nunavut,12.0,0,0.0
2021-03-21,Ontario,10768.0,251,0.023309806835066865
2021-03-21,Prince Edward Island,5.0,0,0.0
2021-03-21,Quebec,4747.0,191,0.04023593848746577
2021-03-21,Saskatchewan,1020.0,85,0.08333333333333333
2021-03-21,Yukon,0.0,0,0.0
2021-03-21,Canada,24738.0,1776,0.07179238418627214
2021-03-28,Alberta,4406.0,1462,0.3318202451202905
2021-03-28,British Columbia,5478.0,572,0.10441767068273092
2021-03-28,Manitoba,570.0,46,0.08070175438596491
2021-03-28,New Brunswick,87.0,0,0.0
2021-03-28,Newfoundland and Labrador,2.0,0,0.0
2021-03-28,Northwest Territories,0.0,0,0.0
2021-03-28,Nova Scotia,23.0,0,0.0
2021-03-28,Nunavut,0.0,0,0.0
2021-03-28,Ontario,14266.0,338,0.02369269592037011
2021-03-28,Prince Edward Island,8.0,0,0.0
2021-03-28,Quebec,5972.0,163,0.027294038847957135
2021-03-28,Saskatchewan,1394.0,337,0.2417503586800574
2021-03-28,Yukon,1.0,0,0.0
2021-03-28,Canada,32207.0,2918,0.0906014220511069
2021-04-05,Alberta,6309.0,3230,0.5119670312252338
2021-04-05,British Columbia,6725.0,1105,0.16431226765799256
2021-04-05,Manitoba,512.0,126,0.24609375
2021-04-05,New Brunswick,75.0,22,0.29333333333333333
2021-04-05,Newfoundland and Labrador,4.0,0,0.0
2021-04-05,Northwest Territories,1.0,1,1.0
2021-04-05,Nova Scotia,30.0,5,0.16666666666666666
2021-04-05,Nunavut,0.0,0,0.0
2021-04-05,Ontario,19303.0,510,0.0264207636118738
2021-04-05,Prince Edward Island,4.0,0,0.0
2021-04-05,Quebec,8162.0,829,0.10156824307767703
2021-04-05,Saskatchewan,1528.0,457,0.29908376963350786
2021-04-05,Yukon,1.0,0,0.0
2021-04-05,Canada,42654.0,6285,0.14734843156562105
2021-04-12,Alberta,8844.0,4368,0.49389416553595655
2021-04-12,British Columbia,7909.0,311,0.03932229106081679
