date,region,type,cases
2021-03-21,Canada,total,24738
2021-03-28,Canada,total,32207
2021-04-05,Canada,total,42654
2021-04-12,Canada,total,56641
2021-04-19,Canada,total,60753
2021-04-26,Canada,total,56150
2021-05-03,Canada,total,55344
2021-05-10,Canada,total,50938
2021-05-17,Canada,total,39907
2021-05-24,Canada,total,28904
2021-05-31,Canada,total,18563
2021-06-07,Canada,total,12569
2021-06-14,Canada,total,9142
2021-06-21,Canada,total,6295
2021-06-28,Canada,total,4555
2021-03-21,Canada,alpha,1776
2021-03-28,Canada,alpha,2918
2021-04-05,Canada,alpha,6285
2021-04-12,Canada,alpha,17557
2021-04-19,Canada,alpha,28344
2021-04-26,Canada,alpha,27027
2021-05-03,Canada,alpha,29077
2021-05-10,Canada,alpha,26074
2021-05-17,Canada,alpha,23660
2021-05-24,Canada,alpha,15684
2021-05-31,Canada,alpha,11036
2021-06-07,Canada,alpha,10853
2021-06-14,Canada,alpha,10189
2021-06-21,Canada,alpha,5132
2021-06-28,Canada,alpha,2714
