date,region,type,cases
2021-03-28,Canada,other,29121
2021-04-12,Canada,other,38729
2021-04-26,Canada,other,28167
2021-05-10,Canada,other,23753
2021-05-24,Canada,other,11967
2021-06-07,Canada,other,0
2021-06-21,Canada,other,112
2021-03-28,Canada,alpha,2918
2021-04-12,Canada,alpha,17557
2021-04-26,Canada,alpha,27027
2021-05-10,Canada,alpha,26074
2021-05-24,Canada,alpha,15684
2021-06-07,Canada,alpha,10853
2021-06-21,Canada,alpha,5132
2021-03-28,Canada,gamma,168
2021-04-12,Canada,gamma,355
2021-04-26,Canada,gamma,956
2021-05-10,Canada,gamma,1111
2021-05-24,Canada,gamma,1253
2021-06-07,Canada,gamma,2113
2021-06-21,Canada,gamma,1051
