prov,total,week
Alberta,3510,21-03-2021
British Columbia,4027,21-03-2021
Manitoba,609,21-03-2021
New Brunswick,20,21-03-2021
Newfoundland and Labrador,2,21-03-2021
Nova Scotia,18,21-03-2021
Ontario,10768,21-03-2021
Prince Edward Island,5,21-03-2021
Quebec,4747,21-03-2021
Saskatchewan,1020,21-03-2021
Canada,24726,21-03-2021
Alberta,4406,28-03-2021
British Columbia,5478,28-03-2021
Manitoba,570,28-03-2021
New Brunswick,87,28-03-2021
Newfoundland and Labrador,2,28-03-2021
Nova Scotia,23,28-03-2021
Ontario,14266,28-03-2021
Prince Edward Island,8,28-03-2021
Quebec,5972,28-03-2021
Saskatchewan,1394,28-03-2021
Canada,32206,28-03-2021
Alberta,6854,05-04-2021
British Columbia,7502,05-04-2021
Manitoba,565,05-04-2021
New Brunswick,85,05-04-2021
Newfoundland and Labrador,4,05-04-2021
Nova Scotia,30,05-04-2021
Ontario,21397,05-04-2021
Prince Edward Island,4,05-04-2021
Quebec,9053,05-04-2021
Saskatchewan,1732,05-04-2021
Canada,47226,05-04-2021
Alberta,7708,12-04-2021
British Columbia,4620,12-04-2021
Manitoba,726,12-04-2021
New Brunswick,60,12-04-2021
Newfoundland and Labrador,9,12-04-2021
Nova Scotia,27,12-04-2021
Ontario,22071,12-04-2021
Prince Edward Island,2,12-04-2021
Quebec,9019,12-04-2021
Saskatchewan,1542,12-04-2021
Canada,45784,12-04-2021
