Variant Grouping,_Identifier,Lineage Grouped,%CT Count of Sample #,Collection (week)
VOC,Alpha,B.1.1.7,0.001,2020-04-05
VOC,Alpha,B.1.1.7,0.001,2020-04-19
VOC,Alpha,B.1.1.7,0.004,2020-05-10
VOC,Alpha,B.1.1.7,0.006,2020-05-17
VOC,Alpha,B.1.1.7,0.001,2020-11-08
VOC,Alpha,B.1.1.7,0.003,2020-11-29
VOC,Alpha,B.1.1.7,0.004,2020-12-13
VOC,Alpha,B.1.1.7,0.007,2020-12-20
VOC,Alpha,B.1.1.7,0.014,2020-12-27
VOC,Alpha,B.1.1.7,0.017,2021-01-03
VOC,Alpha,B.1.1.7,0.03,2021-01-10
VOC,Alpha,B.1.1.7,0.063,2021-01-17
VOC,Alpha,B.1.1.7,0.089,2021-01-24
VOC,Alpha,B.1.1.7,0.171,2021-01-31
VOC,Alpha,B.1.1.7,0.27,2021-02-07
VOC,Alpha,B.1.1.7,0.31,2021-02-14
VOC,Alpha,B.1.1.7,0.359,2021-02-21
VOC,Alpha,B.1.1.7,0.426,2021-02-28
VOC,Alpha,B.1.1.7,0.389,2021-03-07
VOC,Alpha,B.1.1.7,0.432,2021-03-14
VOC,Alpha,B.1.1.7,0.419,2021-03-21
VOC,Alpha,B.1.1.7,0.35,2021-03-28
VOC,Alpha,B.1.1.7,0.316,2021-04-04
VOC,Alpha,B.1.1.7,0.444,2021-04-11
VOC,Alpha,B.1.1.7,0.529,2021-04-18
VOC,Alpha,B.1.1.7,0.506,2021-04-25
VOC,Alpha,B.1.1.7,0.562,2021-05-02
VOC,Alpha,B.1.1.7,0.558,2021-05-09
VOC,Alpha,B.1.1.7,0.536,2021-05-16
VOC,Alpha,B.1.1.7,0.535,2021-05-23
VOC,Alpha,B.1.1.7,0.54,2021-05-30
VOC,Alpha,B.1.1.7,0.501,2021-06-06
VOC,Alpha,B.1.1.7,0.408,2021-06-13
VOC,Alpha,B.1.1.7,0.415,2021-06-20
VOC,Alpha,B.1.1.7,0.24,2021-06-27
VOC,Alpha,B.1.1.7,0.232,2021-07-04
VOC,Alpha,B.1.1.7,0.104,2021-07-11
VOC,Alpha,B.1.1.7,0.056,2021-07-18
VOC,Alpha,B.1.1.7,0.037,2021-07-25
VOC,Alpha,B.1.1.7,0.021,2021-08-01
VOC,Alpha,B.1.1.7,0.016,2021-08-08
VOC,Alpha,B.1.1.7,0.008,2021-08-15
VOC,Alpha,B.1.1.7,0.004,2021-08-22
VOC,Alpha,B.1.1.7,0.004,2021-08-29
VOC,Alpha,B.1.1.7,0.003,2021-09-05
VOC,Alpha,B.1.1.7,0.002,2021-09-12
VOC,Alpha,B.1.1.7,0.002,2021-09-19
VOC,Alpha,Q.1,0,2021-02-07
VOC,Alpha,Q.1,0.001,2021-02-28
VOC,Alpha,Q.1,0.001,2021-03-07
VOC,Alpha,Q.1,0.001,2021-03-14
VOC,Alpha,Q.1,0.001,2021-03-21
VOC,Alpha,Q.1,0,2021-03-28
VOC,Alpha,Q.1,0.002,2021-04-04
VOC,Alpha,Q.1,0.001,2021-04-11
VOC,Alpha,Q.1,0.001,2021-04-18
VOC,Alpha,Q.1,0,2021-04-25
VOC,Alpha,Q.1,0.002,2021-05-02
VOC,Alpha,Q.1,0.002,2021-05-09
VOC,Alpha,Q.1,0.001,2021-05-16
VOC,Alpha,Q.1,0.006,2021-05-23
VOC,Alpha,Q.1,0.008,2021-05-30
VOC,Alpha,Q.1,0.006,2021-06-06
VOC,Alpha,Q.1,0.008,2021-06-13
VOC,Alpha,Q.1,0.006,2021-06-20
VOC,Alpha,Q.1,0.011,2021-06-27
VOC,Alpha,Q.1,0.008,2021-07-04
VOC,Alpha,Q.1,0.003,2021-07-11
VOC,Alpha,Q.1,0.001,2021-07-18
VOC,Alpha,Q.1,0,2021-08-01
VOC,Alpha,Q.1,0,2021-08-08
VOC,Alpha,Q.2,0,2021-04-04
VOC,Alpha,Q.2,0,2021-04-11
VOC,Alpha,Q.2,0,2021-04-18
VOC,Alpha,Q.3,0,2021-03-14
VOC,Alpha,Q.3,0,2021-04-18
VOC,Alpha,Q.3,0,2021-05-02
VOC,Alpha,Q.3,0,2021-05-09
VOC,Alpha,Q.3,0.001,2021-05-16
VOC,Alpha,Q.3,0.001,2021-05-23
VOC,Alpha,Q.4,0.001,2021-01-10
VOC,Alpha,Q.4,0,2021-03-07
VOC,Alpha,Q.4,0,2021-03-14
VOC,Alpha,Q.4,0,2021-03-21
VOC,Alpha,Q.8,0.001,2021-01-03
VOC,Alpha,Q.8,0.001,2021-01-24
VOC,Alpha,Q.8,0.001,2021-01-31
VOC,Alpha,Q.8,0.001,2021-02-07
VOC,Alpha,Q.8,0.002,2021-02-14
VOC,Alpha,Q.8,0.006,2021-02-21
VOC,Alpha,Q.8,0.009,2021-02-28
VOC,Alpha,Q.8,0.012,2021-03-07
VOC,Alpha,Q.8,0.024,2021-03-14
VOC,Alpha,Q.8,0.02,2021-03-21
VOC,Alpha,Q.8,0.022,2021-03-28
VOC,Alpha,Q.8,0.014,2021-04-04
VOC,Alpha,Q.8,0.014,2021-04-11
VOC,Alpha,Q.8,0.02,2021-04-18
VOC,Alpha,Q.8,0.013,2021-04-25
VOC,Alpha,Q.8,0.008,2021-05-02
VOC,Alpha,Q.8,0.016,2021-05-09
VOC,Alpha,Q.8,0.012,2021-05-16
VOC,Alpha,Q.8,0.014,2021-05-23
VOC,Alpha,Q.8,0.015,2021-05-30
VOC,Alpha,Q.8,0.009,2021-06-06
VOC,Alpha,Q.8,0.003,2021-06-13
VOC,Alpha,Q.8,0.003,2021-06-20
VOC,Alpha,Q.8,0.003,2021-06-27
VOC,Alpha,Q.8,0.021,2021-07-04
VOC,Alpha,Q.8,0.001,2021-07-11
VOC,Alpha,Q.8,0.001,2021-07-25
VOC,Alpha,Q.8,0,2021-08-01
VOC,Alpha,Q.8,0,2021-08-08
VOC,Alpha,Q.8,0,2021-08-15
VOC,Alpha,Q.8,0,2021-08-29
VOC,Alpha,Q.8,0.002,2021-09-19
VOC,Beta,B.1.351,0.001,2020-12-13
VOC,Beta,B.1.351,0.006,2020-12-20
VOC,Beta,B.1.351,0.003,2020-12-27
VOC,Beta,B.1.351,0.007,2021-01-03
VOC,Beta,B.1.351,0.009,2021-01-10
VOC,Beta,B.1.351,0.006,2021-01-17
VOC,Beta,B.1.351,0.005,2021-01-24
VOC,Beta,B.1.351,0.008,2021-01-31
VOC,Beta,B.1.351,0.016,2021-02-07
