date,region,total cases,alpha cases,proportion
2021-03-21,Alberta,3510.0,679,0.19344729344729344
2021-03-21,British Columbia,4027.0,427,0.10603426868636702
2021-03-21,Ontario,10768.0,251,0.023309806835066865
2021-03-21,Quebec,4747.0,191,0.04023593848746577
2021-03-21,Canada,24738.0,1776,0.07179238418627214
2021-03-28,Alberta,4406.0,1462,0.3318202451202905
2021-03-28,British Columbia,5478.0,572,0.10441767068273092
2021-03-28,Ontario,14266.0,338,0.02369269592037011
2021-03-28,Quebec,5972.0,163,0.027294038847957135
2021-03-28,Canada,32207.0,2918,0.0906014220511069
2021-04-05,Alberta,6309.0,3230,0.5119670312252338
2021-04-05,British Columbia,6725.0,1105,0.16431226765799256
2021-04-05,Ontario,19303.0,510,0.0264207636118738
2021-04-05,Quebec,8162.0,829,0.10156824307767703
2021-04-05,Canada,42654.0,6285,0.14734843156562105
2021-04-12,Alberta,8844.0,4368,0.49389416553595655
2021-04-12,British Columbia,7909.0,311,0.03932229106081679
2021-04-12,Ontario,26472.0,12252,0.4628286491387126
2021-04-12,Quebec,10618.0,6,0.000565078169146732
2021-04-12,Canada,56641.0,17557,0.309969809855052
2021-04-19,Alberta,10148.0,5787,0.5702601497832085
2021-04-19,British Columbia,7211.0,776,0.10761336846484537
2021-04-19,Ontario,30433.0,19725,0.6481451056419019
2021-04-19,Quebec,10062.0,1124,0.11170741403299543
2021-04-19,Canada,60753.0,28344,0.46654486198212436
2021-04-26,Alberta,11115.0,7301,0.6568600989653621
2021-04-26,British Columbia,6209.0,183,0.029473345144145596
2021-04-26,Ontario,27419.0,18286,0.6669098070680914
2021-04-26,Quebec,7653.0,777,0.10152881223049784
2021-04-26,Canada,56150.0,27027,0.48133570792520036
2021-05-03,Alberta,13609.0,7812,0.5740318906605922
2021-05-03,British Columbia,5407.0,-2,0.000369890882189754
2021-05-03,Ontario,25040.0,19915,0.7953274760383386
2021-05-03,Quebec,6981.0,378,0.054146970348087665
2021-05-03,Canada,55344.0,29077,0.5253866724486846
2021-05-10,Alberta,13477.0,4794,0.35571714773317503
2021-05-10,British Columbia,4452.0,0,0.0
2021-05-10,Ontario,21118.0,19311,0.914433184960697
2021-05-10,Quebec,6118.0,520,0.08499509643674404
2021-05-10,Canada,50938.0,26074,0.5118771840276415
2021-05-17,Alberta,9295.0,2385,0.25658956428187196
2021-05-17,British Columbia,3556.0,2309,0.6493250843644545
2021-05-17,Ontario,16467.0,15917,0.9665998663994656
2021-05-17,Quebec,5051.0,1008,0.1995644426846169
2021-05-17,Canada,39907.0,23660,0.59287844237853
2021-05-24,Alberta,4965.0,2009,0.40463242698892243
2021-05-24,British Columbia,2683.0,941,0.3507267983600447
2021-05-24,Ontario,12425.0,10400,0.8370221327967807
2021-05-24,Quebec,3962.0,512,0.1292276627965674
2021-05-24,Canada,28904.0,15684,0.5426238582895101
2021-05-31,Alberta,2862.0,1582,0.5527603074772887
2021-05-31,British Columbia,1942.0,726,0.37384140061791965
2021-05-31,Ontario,7548.0,7094,0.9398516163222046
2021-05-31,Quebec,2510.0,671,0.26733067729083665
2021-05-31,Canada,18563.0,11036,0.5945159726337338
2021-06-07,Alberta,1810.0,1632,0.901657458563536
2021-06-07,British Columbia,1241.0,1277,1.0290088638195003
2021-06-07,Ontario,5148.0,6956,1.3512043512043512
2021-06-07,Quebec,1641.0,201,0.12248628884826325
2021-06-07,Canada,12569.0,10853,0.8634736255867611
2021-06-14,Alberta,1259.0,833,0.6616362192216044
2021-06-14,British Columbia,923.0,826,0.894907908992416
2021-06-14,Ontario,3523.0,7491,2.1263128015895543
2021-06-14,Quebec,1152.0,168,0.14583333333333334
2021-06-14,Canada,9142.0,10189,1.1145263618464232
2021-06-21,Alberta,841.0,492,0.5850178359096314
2021-06-21,British Columbia,678.0,1026,1.5132743362831858
2021-06-21,Ontario,2338.0,2631,1.1253207869974338
2021-06-21,Quebec,899.0,44,0.048943270300333706
2021-06-21,Canada,6295.0,5132,0.8152501985702939
2021-06-28,Alberta,431.0,120,0.27842227378190254
2021-06-28,British Columbia,418.0,910,2.1770334928229667
2021-06-28,Ontario,1946.0,1154,0.593011305241521
2021-06-28,Quebec,649.0,94,0.1448382126348228
2021-06-28,Canada,4555.0,2714,0.5958287596048298
